电影名称,电影排名,电影评分,短评,评论人数
甜蜜蜜,94,8.8,相逢只要一瞬间，等待却像是一辈子。,248103
断背山,95,8.6,每个人心中都有一座断背山。,344512
猫鼠游戏,96,8.7,骗子大师和执著警探的你追我跑故事。 ,251633
一一,97,8.9,我们都曾经是一一。,166938
告白,98,8.7,没有一人完全善，也没有一人完全恶。,367679
阳光姐妹淘,99,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,289321
加勒比海盗,100,8.6,约翰尼·德普的独角戏。,372992
上帝之城,101,8.9,被上帝抛弃了的上帝之城。,166856
摩登时代,102,9.2,大时代中的人生，小人物的悲喜。,97631
穿条纹睡衣的男孩,103,8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,162131
阿凡达,104,8.6,绝对意义上的美轮美奂。,565424
爱在黎明破晓前,105,8.7,缘分是个连绵词，最美不过一瞬。,237783
消失的爱人,106,8.7,年度最佳date movie。,385116
风之谷,107,8.8,动画片的圣经。,188657
爱在日落黄昏时,108,8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,212397
侧耳倾听,109,8.8,少女情怀总是诗。,181863
倩女幽魂,110,8.6,两张绝世的脸。 ,275012
红辣椒,111,8.9,梦的勾结。,146449
恐怖直播,112,8.7,恐怖分子的“秋菊打官司”。,241793
超脱,113,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,185748
萤火虫之墓,114,8.7,幸福是生生不息，却难以触及的远。 ,217367
驯龙高手,115,8.7,和谐的生活离不开摸头与被摸头。,304807
幸福终点站,116,8.6,有时候幸福需要等一等。 ,239230
菊次郎的夏天,117,8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,195587
小森林 夏秋篇,118,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,144292
喜剧之王,119,8.5,我是一个演员。,341350
岁月神偷,120,8.6,岁月流逝，来日可追。,323390
借东西的小人阿莉埃蒂,121,8.7,曾经的那段美好会沉淀为一辈子的记忆。,232018
七武士,122,9.2,时代悲歌。,82585
神偷奶爸,123,8.5,Mr. I Don't Care其实也有Care的时候。,405094
杀人回忆,124,8.7,关于连环杀人悬案的集体回忆。,222515
海洋,125,9.0,大海啊，不全是水。,102663
真爱至上,126,8.5,爱，是个动词。,332363
电锯惊魂,127,8.7,真相就在眼前。,210581
贫民窟的百万富翁,128,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,415225
谍影重重3,129,8.7,像吃了苏打饼一样干脆的电影。,191191
喜宴,130,8.8,中国家庭的喜怒哀乐忍。,149543
东邪西毒,131,8.6,电影诗。,266635
记忆碎片,132,8.5,一个针管引发的血案。,295599
雨人,133,8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,220379
怪兽电力公司,134,8.6,不要给它起名字，起了名字就有感情了。,257685
黑天鹅,135,8.5,黑暗之美。,440435
疯狂原始人,136,8.7,老少皆宜，这就是好莱坞动画的魅力。,391136
英雄本色,137,8.7,英雄泪短，兄弟情长。 ,179650
燃情岁月,138,8.7,传奇，不是每个人都可以拥有。,154632
卢旺达饭店,139,8.8,当这个世界闭上双眼，他却敞开了怀抱。,127187
虎口脱险,140,8.9,永远看不腻的喜剧。,112333
7号房的礼物,141,8.7,《我是山姆》的《美丽人生》。,189023
恋恋笔记本,142,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,300381
小森林 冬春篇,143,8.9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,125635
傲慢与偏见,144,8.5,爱是摈弃傲慢与偏见之后的曙光。,320891
海边的曼彻斯特,145,8.6,我们都有权利不与自己的过去和解。,208292
哈利·波特与死亡圣器(下),146,8.7,10年的完美句点。,289976
萤火之森,147,8.7,触不到的恋人。,168939
教父3,148,8.8,任何信念的力量，都无法改变命运。,138742
完美的世界,149,9.0,坏人的好总是比好人的好来得更感人。,86302
纵横四海,150,8.7,香港浪漫主义警匪动作片的巅峰之作。,156407
荒蛮故事,151,8.8,始于荒诞，止于更荒诞。,151731
二十二,152,8.8,有一些东西不应该被遗忘。,105685
魂断蓝桥,153,8.8,中国式内在的美国电影。,135490
猜火车,154,8.5,不可猜的青春迷笛。 ,259347
穿越时空的少女,155,8.6,爱上未来的你。 ,194617
玩具总动员3,156,8.8,跨度十五年的欢乐与泪水。,201672
花样年华,157,8.5,偷情本没有这样美。,260900
雨中曲,158,9.0,骨灰级歌舞片。,97469
心迷宫,159,8.6,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,183595
时空恋旅人,160,8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,214467
唐伯虎点秋香,161,8.4,华太师是黄霑，吴镇宇四大才子之一。,351750
超能陆战队,162,8.6,Balalala~~~,392724
我是山姆,163,8.8,爱并不需要智商 。,110329
蝙蝠侠：黑暗骑士崛起,164,8.6,诺兰就是保证。,309819
人工智能,165,8.6,对爱的执着，可以超越一切。,199875
浪潮,166,8.7,世界离独裁只有五天。,139210
冰川时代,167,8.4,松鼠才是角儿。,285564
香水,168,8.4,一个单凭体香达到高潮的男人。,289403
朗读者,169,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,288600
罗生门,170,8.7,人生的N种可能性。,132207
请以你的名字呼唤我,171,8.8,沉醉在电影的情感和视听氛围中无法自拔。,174013
